,Unnamed: 0,0,1,it,client
0,i0_c0,0.08,0.0474,0,c0
1,i0_c1,0.08,0.0531,0,c1
2,i0_c2,0.0904,0.065,0,c2
3,i0_c3,0.0552,0.0292,0,c3
4,i0_g,0.0509,0.0467,0,g
5,i1_c0,0.0808,0.0496,1,c0
6,i1_c1,0.0784,0.0558,1,c1
7,i1_c2,0.0884,0.0606,1,c2
8,i1_c3,0.0536,0.0293,1,c3
9,i1_g,0.0582,0.0532,1,g
10,i2_c0,0.0728,0.04,2,c0
11,i2_c1,0.084,0.0531,2,c1
12,i2_c2,0.0904,0.0618,2,c2
13,i2_c3,0.0572,0.0297,2,c3
14,i2_g,0.0512,0.0481,2,g
15,i3_c0,0.0756,0.0458,3,c0
16,i3_c1,0.0816,0.0563,3,c1
17,i3_c2,0.0848,0.0594,3,c2
18,i3_c3,0.0664,0.0334,3,c3
19,i3_g,0.0555,0.0513,3,g
20,i4_c0,0.068,0.0367,4,c0
21,i4_c1,0.0712,0.049,4,c1
22,i4_c2,0.0856,0.0608,4,c2
23,i4_c3,0.046,0.0267,4,c3
24,i4_g,0.047,0.0431,4,g
