,Unnamed: 0,0,1,it,client
0,i0_c0,0.9886,0.4531,0,c0
1,i0_c1,0.9928,0.4633,0,c1
2,i0_g,0.907,0.5262,0,g
3,i1_c0,0.9906,0.4518,1,c0
4,i1_c1,0.983,0.4426,1,c1
5,i1_g,0.8993,0.5158,1,g
6,i2_c0,0.9894,0.4561,2,c0
7,i2_c1,0.9864,0.4513,2,c1
8,i2_g,0.9045,0.5222,2,g
9,i3_c0,0.9886,0.4515,3,c0
10,i3_c1,0.9904,0.4603,3,c1
11,i3_g,0.9023,0.522,3,g
12,i4_c0,0.9894,0.4501,4,c0
13,i4_c1,0.9902,0.4534,4,c1
14,i4_g,0.91,0.5277,4,g
