,Unnamed: 0,0,1,it,client
0,i0_c0,0.982,0.4588,0,c0
1,i0_c1,0.982,0.4683,0,c1
2,i0_g,0.8958,0.5295,0,g
3,i1_c0,0.9778,0.4602,1,c0
4,i1_c1,0.9788,0.4665,1,c1
5,i1_g,0.8878,0.5344,1,g
6,i2_c0,0.98,0.4674,2,c0
7,i2_c1,0.9784,0.4635,2,c1
8,i2_g,0.8954,0.5308,2,g
9,i3_c0,0.9796,0.4605,3,c0
10,i3_c1,0.9834,0.4686,3,c1
11,i3_g,0.8924,0.5346,3,g
12,i4_c0,0.9788,0.4596,4,c0
13,i4_c1,0.9824,0.4688,4,c1
14,i4_g,0.8877,0.531,4,g
