,0,1,2
0.1,0.0199,0.0159,0.019
0.2,0.0148,0.0286,0.0218
0.3,0.0293,0.0285,0.0367
0.4,0.0296,0.0336,0.0635
0.5,0.0516,0.0528,0.0984
0.6,0.0849,0.0664,0.1179
0.7,0.0827,0.0787,0.1404
0.8,0.0602,0.1144,0.1376
0.9,0.1258,0.1001,0.1766
1.0,0.1267,0.1351,0.1838
2.0,0.2712,0.2682,0.3565
3.0,0.3402,0.3319,0.4117
4.0,0.3772,0.3704,0.4595
5.0,0.4182,0.4023,0.4826
6.0,0.4156,0.4167,0.4895
7.0,0.4213,0.43,0.5125
8.0,0.4389,0.4482,0.5141
9.0,0.4363,0.4459,0.5128
10.0,0.4511,0.4487,0.5199
